,D0000000101,D0000000102,D0000000103,D0000000104,D0000000105,D0000000106,D0000000107,D0000000108,D0000000109,D0000000201,D0000000202,D0000000203,D0000000204,D0000000205,D0000000206,D0000000207,D0000000208,D0000000209,D0000000301,D0000000302,D0000000303,D0000000304,D0000000305,D0000000306,D0000000307,D0000000308,D0000000309,D0000000401,D0000000402,D0000000403,D0000000404,D0000000405,D0000000406,D0000000407,D0000000408,y
107,6.8158897,6.771703,5.8014915,6.4179497,6.3737753,5.4034363,6.594041,6.549846,5.5797196,-28.3720185,-28.4340493,-27.7928314,-42.5303456,-42.6234582,-41.6606901,-18.9331337,-18.9739952,-18.5516802,2.3868003,2.4000114,2.2634475,2.9834622,3,2.8290018,1.9890257,2,1.886578,600,6.0537419,8.0538866,-141.860092,-0.3088099,-0.2363547,-0.0001253,-1.25E-06,30
108,3.820858,3.15351,3.7156691,3.422918,2.748188,3.3197305,3.5990092,2.9365137,3.492481,-28.517916,-28.9032532,-28.4123117,-42.6885066,-43.4810293,-42.4759526,-19.0708557,-19.4546946,-18.9641514,4.5160121,4.7865169,4.4418784,5.6310423,6,5.5320881,3.7726586,4,3.7094595,50,3.8985573,4.8211098,-142.58958,1.3652898,-2.8404299,-0.0180107,-0.0021527,2.5
109,4.7234557,4.4329052,4.411687,4.3255157,4.0353497,4.0133429,4.5016069,4.2107999,4.1901075,-28.8288323,-29.0737398,-28.5716624,-43.0810226,-43.4810292,-42.6602244,-19.3273721,-19.4546928,-19.1938383,4.6527788,4.8007086,4.4974423,5.8174858,6,5.6254849,3.8763075,4,3.7465789,100,4.4988853,5.7216018,-144.144162,2.9198712,-1.4385645,-0.00457,-0.0002736,5
110,5.2512122,5.0647649,4.7940905,4.8532722,4.6670044,4.3958155,5.0293635,4.8427964,4.572465,-28.9229337,-29.0692014,-28.6501471,-43.2284803,-43.4810296,-42.7569222,-19.3859026,-19.4546927,-19.2577116,4.7035133,4.8003308,4.5229504,5.8769943,6,5.6473189,3.9211926,4,3.7743343,150,4.8504897,6.2490084,-144.614668,3.390378,-0.962814,-0.0020404,-8.15E-05,7.5
111,5.6259295,5.4887312,5.0586993,5.2279895,5.0909138,4.6604291,5.4040807,5.2668007,4.8370705,-28.9539558,-29.067941,-28.647138,-43.2932131,-43.4810295,-42.7871342,-19.3944509,-19.4546928,-19.2324085,4.7284619,4.8002259,4.5352925,5.9098024,6,5.6667614,3.9409016,4,3.7819349,200,5.100078,6.6233908,-144.769779,3.5454886,-0.7231258,-0.0011497,-3.45E-05,10
112,5.9169432,5.8080461,5.2628638,5.5190032,5.4102743,4.8643331,5.6950945,5.5860852,5.0414085,-28.9891934,-29.0689505,-28.7093264,-43.3268506,-43.4810295,-42.7848917,-19.4307553,-19.4546927,-19.3468567,4.7433366,4.8003099,4.5434177,5.9271791,6,5.6712041,3.9541083,4,3.7932621,250,5.2937245,6.9138605,-144.945967,3.7216768,-0.5793204,-0.000737,-1.77E-05,12.5
113,6.1543509,6.064276,5.4269112,5.7564109,5.6662652,5.0292782,5.9325022,5.8424744,5.2048577,-29.0021996,-29.0636609,-28.7355342,-43.3568461,-43.4810294,-42.8185144,-19.4324353,-19.4546928,-19.3358093,4.7521587,4.7998696,4.5451532,5.9392154,6,5.6757156,3.9607876,4,3.7905561,300,5.4519712,7.1512307,-145.010998,3.7867077,-0.483048,-0.0005122,-1.02E-05,15
114,6.3550682,6.2783886,5.5641877,5.9571282,5.8805118,5.1659206,6.1332195,6.0564978,5.3425569,-28.9982368,-29.0666247,-28.6440926,-43.3638091,-43.4810295,-42.7562418,-19.4211886,-19.4546928,-19.2477923,4.7584733,4.8001163,4.5428264,5.9484029,6,5.6809688,3.9651869,4,3.7850165,350,5.5857822,7.351947,-144.991184,3.7668937,-0.4140239,-0.0003763,-6.45E-06,17.5
115,6.5290439,6.4621856,5.6834145,6.1311039,6.0642281,5.2855798,6.3071951,6.2403485,5.4614955,-29.0086035,-29.0648395,-28.6707052,-43.3819365,-43.4810295,-42.786698,-19.4263814,-19.4546928,-19.2562386,4.7639419,4.7999677,4.5474785,5.9551367,6,5.6856484,3.9698121,4,3.7883918,400,5.701704,7.5258299,-145.043017,3.818727,-0.3624263,-0.0002883,-4.32E-06,20
116,6.6825413,6.6232857,5.7881952,6.2846013,6.2253879,5.3899666,6.4606925,6.4014088,5.5665388,-29.0169847,-29.066161,-28.6805921,-43.3984384,-43.4810295,-42.8330403,-19.4293488,-19.4546928,-19.2560706,4.7679943,4.8000777,4.5485263,5.9596122,6,5.6831275,3.9735823,4,3.7929628,450,5.8039609,7.6792151,-145.084923,3.860633,-0.3222677,-0.0002279,-3.04E-06,22.5
